Title,Date,Authors,Abstract
Interrogative suggestibility in the elderly.,2020,"Silvia Biondi, Cristina Mazza, Graziella Orrù, Merylin Monaro, Stefano Ferracuti, Eleonora Ricci, Alberto Di Domenico, Paolo Roma","Interrogative suggestibility (IS) describes the extent to which an individual behavioral response is affected by messages communicated during formal questioning within a closed social interaction. The present study aimed at improving knowledge about IS in the elderly (aged 65 years and older), in particular about its association with both emotive/affective and cognitive variables. The sample (N = 172) was divided into three groups on the basis of age: late adult (aged 55-64, N = 59), young elderly (aged 65-74, N = 63), and elderly (aged 75 and older, N = 50). Cognitive (i.e., Kaufman Brief Intelligence Test-2, Rey Auditory Verbal Learning Test), emotive/affective (i.e., Rosenberg Self-Esteem Scale, Marlowe-Crowne Social Desirability Scale, Penn State Worry Questionnaire) and suggestibility measures (i.e., Gudjonsson Suggestibility Scale-2) were administered. In order to identify differences and associations between groups in IS, cognitive and emotive/affective variables, ANOVAs tests and Pearson's correlations were run. Furthermore, moderation analyses and hierarchical regression were set to determine whether age, cognitive and emotive/affective variables predicted IS components (i.e., Yield and Shift). Finally, machine learning models were developed to highlight the best strategy for classifying elderly subjects with high suggestibility. The results corroborated the significant link between IS and age, showing that elderly participants had the worst performance on all suggestibility indexes. Age was also the most important predictor of both Yield and Shift. Results also confirmed the important role of non-verbal intelligence and memory impairment in explaining IS dimensions, showing that these associations were stronger in young elderly and elderly groups. Implications about interrogative procedures with older adults were discussed."
The Synergy Between PAV and AdaBoost.,2005-Nov,"W John Wilbur, Lana Yeganova, Won Kim",Schapire and Singer's improved version of AdaBoost for handling weak hypotheses with confidence rated predictions represents an important advance in the theory and practice of boosting. Its success results from a more efficient use of information in weak hypotheses during updating. Instead of simple binary voting a weak hypothesis is allowed to vote for or against a classification with a variable strength or confidence. The Pool Adjacent Violators (PAV) algorithm is a method for converting a score into a probability. We show how PAV may be applied to a weak hypothesis to yield a new weak hypothesis which is in a sense an ideal confidence rated prediction and that this leads to an optimal updating for AdaBoost. The result is a new algorithm which we term PAV-AdaBoost. We give several examples illustrating problems for which this new algorithm provides advantages in performance.
High-level aftereffects to global scene properties.,2010-Dec,"Michelle R Greene, Aude Oliva","Adaptation is ubiquitous in the human visual system, allowing recalibration to the statistical regularities of its input. Previous work has shown that global scene properties such as openness and mean depth are informative dimensions of natural scene variation useful for human and machine scene categorization (Greene & Oliva, 2009b; Oliva & Torralba, 2001). A visual system that rapidly categorizes scenes using such statistical regularities should be continuously updated, and therefore is prone to adaptation along these dimensions. Using a rapid serial visual presentation paradigm, we show aftereffects to several global scene properties (magnitude 8-21%). In addition, aftereffects were preserved when the test image was presented 10 degrees away from the adapted location, suggesting that the origin of these aftereffects is not solely due to low-level adaptation. We show systematic modulation of observers' basic-level scene categorization performances after adapting to a global property, suggesting a strong representational role of global properties in rapid scene categorization."
Monitoring urban black-odorous water by using hyperspectral data and machine learning.,2021-Jan-15,"Ji Yang, Alicia Zhou, Liusheng Han, Yong Li, Yichun Xie","Economic development, population growth, industrialization, and urbanization dramatically increase urban water quality deterioration, and thereby endanger human life and health. However, there are not many efficient methods and techniques to monitor urban black and odorous water (BOW) pollution. Our research aims at identifying primary indicators of urban BOW through their spectral characteristics and differentiation. This research combined ground in-situ water quality data with ground hyperspectral data collected from main urban BOWs in Guangzhou, China, and integrated factorial data mining and machine learning techniques to investigate how to monitor urban BOW. Eight key water quality parameters at 52 sample sites were used to retrieve three latent dimensions of urban BOW quality by factorial data mining. The synchronically measured hyperspectral bands along with the band combinations were examined by the machine learning technique, Lasso regression, to identify the most correlated bands and band combinations, over which three multiple regression models were fitted against three latent water quality indicators to determine which spectral bands were highly sensitive to three dimensions of urban BOW pollution. The findings revealed that the many sensitive bands were concentrated in higher hyperspectral band ranges, which supported the unique contribution of hyperspectral data for monitoring water quality. In addition, this integrated data mining and machine learning approach overcame the limitations of conventional band selection, which focus on a limited number of band ratios, band differences, and reflectance bands in the lower range of infrared region. The outcome also indicated that the integration of dimensionality reduction with feature selection shows good potential for monitoring urban BOW. This new analysis framework can be used in urban BOW monitoring and provides scientific data for policymakers to monitor it."
Disaster and Pandemic Management Using Machine Learning: A Survey.,2021-Nov-01,"Vinay Chamola, Vikas Hassija, Sakshi Gupta, Adit Goyal, Mohsen Guizani, Biplab Sikdar","This article provides a literature review of state-of-the-art machine learning (ML) algorithms for disaster and pandemic management. Most nations are concerned about disasters and pandemics, which, in general, are highly unlikely events. To date, various technologies, such as IoT, object sensing, UAV, 5G, and cellular networks, smartphone-based system, and satellite-based systems have been used for disaster and pandemic management. ML algorithms can handle multidimensional, large volumes of data that occur naturally in environments related to disaster and pandemic management and are particularly well suited for important related tasks, such as recognition and classification. ML algorithms are useful for predicting disasters and assisting in disaster management tasks, such as determining crowd evacuation routes, analyzing social media posts, and handling the post-disaster situation. ML algorithms also find great application in pandemic management scenarios, such as predicting pandemics, monitoring pandemic spread, disease diagnosis, etc. This article first presents a tutorial on ML algorithms. It then presents a detailed review of several ML algorithms and how we can combine these algorithms with other technologies to address disaster and pandemic management. It also discusses various challenges, open issues and, directions for future research."
Classification of premalignant pancreatic cancer mass-spectrometry data using decision tree ensembles.,2008-Jun-11,"Guangtao Ge, G William Wong","Pancreatic cancer is the fourth leading cause of cancer death in the United States. Consequently, identification of clinically relevant biomarkers for the early detection of this cancer type is urgently needed. In recent years, proteomics profiling techniques combined with various data analysis methods have been successfully used to gain critical insights into processes and mechanisms underlying pathologic conditions, particularly as they relate to cancer. However, the high dimensionality of proteomics data combined with their relatively small sample sizes poses a significant challenge to current data mining methodology where many of the standard methods cannot be applied directly. Here, we propose a novel methodological framework using machine learning method, in which decision tree based classifier ensembles coupled with feature selection methods, is applied to proteomics data generated from premalignant pancreatic cancer."
Leading determinants for multimorbidity in middle-aged Australian men and women: A nine-year follow-up cohort study.,2020-Dec,"Xianwen Shang, Wei Peng, Jinrong Wu, Mingguang He, Lei Zhang","Although socioeconomic, behavioural, psychological, and biological factors have been individually linked to multimorbidity, data on the importance of these factors are limited. Our study aimed to determine the leading predictors for multimorbidity of chronic conditions in middle-aged Australian adults using machine learning methods. We included 53,867 participants aged 45-64 years from the 45 and Up Study who were free of eleven predefined chronic conditions at baseline (2006-2009) in the analysis. Incident multimorbidity was defined by the co-existence of ≥2, ≥3, or ≥ 4 conditions during follow-up until December 31, 2016. The five leading predictors for multimorbidity in men were age (7.2-20.5% of total variance), body mass index (6.5-15.4%), smoking (4.0-8.3%), chicken intake (3.6-7.5%), and red meat intake (4.6-6.3%) across the three definitions. Leading predictors varied across the three definitions in women, but the four common ones were body mass index (6.3-20.1%), age (6.2-16.4%), chicken intake (4.1-8.3%), and red meat intake (4.2-4.7%). The ten leading modifiable health factors accounted for 39.4-46.1% of total variance across the three definitions. Men with 6-10 health factors had 46-54% lower risks for multimorbidity compared with those reporting ≤2. The corresponding percentage for women was 45-52%. Non-behavioural factors including psychological distress, low education and income and high relative economic disadvantage were among the leading risk factors for multimorbidity. In conclusion, modifications on behavioural factors including diets, physical activity, smoking, alcohol consumption may reduce the risk of multimorbidity in middle-aged adults, whereas individuals with low socioeconomic status or psychological distress are at the highest priority for intervention."
The Use of Explainable Machine Learning for the Prediction of the Quality of Bulk-Tank Milk in Sheep and Goat Farms.,2024-Dec-12,"Daphne T Lianou, Yiannis Kiouvrekis, Charalambia K Michael, Natalia G C Vasileiou, Ioannis Psomadakis, Antonis P Politis, Angeliki I Katsafadou, Eleni I Katsarou, Maria V Bourganou, Dimitra V Liagka, Dimitrios C Chatzopoulos, Nikolaos M Solomakos, George C Fthenakis","The specific objective of the present study was to develop computational models, by means of which predictions could be performed regarding the quality of the bulk-tank milk in dairy sheep and goat farms. Our hypothesis was that use of specific variables related to the health management applied in the farm can facilitate the development of predictions regarding values related to milk quality, specifically for fat content, protein content, fat and protein content combined, somatic cell counts, and total bacterial counts. Bulk-tank milk from 325 sheep and 119 goat farms was collected and evaluated by established techniques for analysis of fat and protein content, for somatic cell counting, and for total bacterial counting. Subsequently, computational models were constructed for the prediction of five target values: (a) fat content, (b) protein content, (c) fat and protein, (d) somatic cell counts, and (e) total bacterial counts, through the use of 21 independent variables related to factors prevalent in the farm. Five machine learning tools were employed: decision trees (18 different models evaluated), random forests (16 models), XGBoost (240 models), k-nearest neighbours (72 models), and neural networks (576 models) (in total, 9220 evaluations were performed). Tools found with the lowest mean absolute percentage error (MAPE) between the five tools used to test predictions for each target value were selected. In sheep farms, for the prediction of protein content, k-nearest neighbours was selected (MAPE: 3.95%); for the prediction of fat and protein content combined, neural networks was selected (6.00%); and for the prediction of somatic cell counts, random forests and k-nearest neighbours were selected (6.55%); no tool provided useful predictions for fat content and for total bacterial counts. In goat farms, for the prediction of protein content, k-nearest neighbours was selected (MAPE: 6.17%); for the prediction of somatic cell counts, random forests and k-nearest neighbours were selected (4.93% and 5.00%); and for the prediction of total bacterial counts, neural networks was selected (8.33%); no tool provided useful prediction models for fat content and for fat and protein content combined. The results of the study will be of interest to farmers, as well as to professionals; the findings will also be useful to dairy processing factories. That way, it will be possible to obtain a distance-aware, rapid, quantitative estimation of the milk output from sheep and goat farms with sufficient data attributes. It will thus become easier to monitor and improve milk quality at the farm level as part of the dairy production chain. Moreover, the findings can support the setup of relevant and appropriate measures and interventions in dairy sheep and goat farms."
Can Deep Learning Improve 2D Echocardiographic RV Assessment?: First Important Steps.,2023-Dec,"Polydoros N Kampaktsis, Archontis Giannakidis",No abstract available
"Association of TLR4 (D299G, T399I), TLR9 -1486T>C, TIRAP S180L and TNF-α promoter (-1031, -863, -857) polymorphisms with risk for systemic lupus erythematosus among South Indians.",2015-Jan,"Y Rupasree, S M Naushad, L Rajasekhar, A Uma, V K Kutala","The rationale of this case-control study was to explore the association of Toll-like receptor 4 (TLR4) D299G, TLR4 T399I, TLR9 -1486 T>C, TIR-domain-containing adaptor protein (TIRAP) S180 L and tumor necrosis-α (TNF-α) promoter polymorphisms with susceptibility and phenotypic heterogeneity of systemic lupus erythematosus (SLE). PCR-RFLP, real-time PCR was used for the genetic analysis and expression studies and ELISA was used for the determination of specific autoantibodies. TLR4 D299G was associated with the risk for SLE (OR: 1.57, 95% CI: 1.08-2.28), while the TNF-α (-1031, -863, -857) CCC haplotype conferred protection. TLR4 and TIRAP polymorphisms were associated with reduced expression of HLA-DR. The presence of TLR4 and TLR9 polymorphisms increases the MHC2TA expression, while TIRAP polymorphism was associated with reduced expression. TLR4 D299 G showed an inverse association with pulmonary hypertension. TLR 4 T399I and TLR9 -1486 T>C showed a positive association with seizures and photosensitivity, respectively. TIRAP S180 L showed a positive association with alopecia and malar rashes, while an inverse association with psychosis was observed. TLR4 T399I (r = 0.14, p = 0.05) and TIRAP S180 L (r = 0.15, p = 0.03) showed a positive association with anti-Ro antibodies. On the other hand, TLR9 -1486 T>C showed an inverse association with anti-La antibodies (r = -0.20, p = 0.006). To conclude, TLR4 D299G increases the risk for SLE, while TNF-α CCC haplotype reduces the risk for SLE. All these polymorphisms contribute toward phenotypic heterogeneity. TLR4 T399I, TLR9 -1486 T>C and TIRAP S180 L influence specific autoantibody production in SLE."
Prediction and interpretation of antibiotic-resistance genes occurrence at recreational beaches using machine learning models.,2023-Feb-15,"Sara Iftikhar, Asad Mustafa Karim, Aoun Murtaza Karim, Mujahid Aizaz Karim, Muhammad Aslam, Fazila Rubab, Sumera Kausar Malik, Jeong Eun Kwon, Imran Hussain, Esam I Azhar, Se Chan Kang, Muhammad Yasir","Antibiotic-resistant bacteria and antibiotic resistance genes (ARGs) are pollutants of worldwide concern that seriously threaten public health and ecosystems. Machine learning (ML) prediction models have been applied to predict ARGs in beach waters. However, the existing studies were conducted at a single location and had low prediction performance. Moreover, ML models are ""black boxes"" that do not reveal their predictions' internal nuances and mechanisms. This lack of transparency and trust can result in serious consequences when using these models in high-stakes decisions. In this study, we developed a gradient boosted regression tree based (GBRT) ML model and then described its behavior using six explainable artificial intelligence (XAI) model-agnostic explanation methods. We used hydro-meteorological and qPCR data from the beaches in South Korea and Pakistan and developed ML prediction models for aac (6'-lb-cr), sul1, and tetX with 10-fold time-blocked cross-validation performances of 4.9, 2.06 and 4.4 root mean squared logarithmic error, respectively. We then analyzed the local and global behavior of the developed ML model using four interpretation methods. The developed ML models showed that water temperature, precipitation and tide are the most important predictors for prediction of ARGs at recreational beaches. We show that the model-agnostic interpretation methods not only explain the behavior of the ML model but also provide insights into the behavior of the ML model under new unseen conditions. Moreover, these post-processing techniques can be a debugging tool for ML-based modeling."
Development and validation of a deep-learning algorithm for the detection of neovascular age-related macular degeneration from colour fundus photographs.,2019-Nov,"Stuart Keel, Zhixi Li, Jane Scheetz, Liubov Robman, James Phung, Galina Makeyeva, KhinZaw Aung, Chi Liu, Xixi Yan, Wei Meng, Robyn Guymer, Robert Chang, Mingguang He",Detection of early onset neovascular age-related macular degeneration (AMD) is critical to protecting vision.
Building a pelvic organ prolapse diagnostic model using vision transformer on multi-sequence MRI.,2025-Jan,"Shaojun Zhu, Xiaoxuan Zhu, Bo Zheng, Maonian Wu, Qiongshan Li, Cheng Qian","Although the uterus, bladder, and rectum are distinct organs, their muscular fasciae are often interconnected. Clinical experience suggests that they may share common risk factors and associations. When one organ experiences prolapse, it can potentially affect the neighboring organs. However, the current assessment of disease severity still relies on manual measurements, which can yield varying results depending on the physician, thereby leading to diagnostic inaccuracies."
A novel multi-feature learning model for disease diagnosis using face skin images.,2024-Jan,"Nannan Zhang, Zhixing Jiang, Mu Li, David Zhang",Facial skin characteristics can provide valuable information about a patient's underlying health conditions.
Advancing nonadiabatic molecular dynamics simulations in solids with E(3) equivariant deep neural hamiltonians.,2025-Feb-27,"Changwei Zhang, Yang Zhong, Zhi-Guo Tao, Xinming Qin, Honghui Shang, Zhenggang Lan, Oleg V Prezhdo, Xin-Gao Gong, Weibin Chu, Hongjun Xiang","Non-adiabatic molecular dynamics (NAMD) simulations have become an indispensable tool for investigating excited-state dynamics in solids. In this work, we propose a general framework, N"
ClinicNet: machine learning for personalized clinical order set recommendations.,2020-Jul,"Jonathan X Wang, Delaney K Sullivan, Alex C Wells, Jonathan H Chen",This study assesses whether neural networks trained on electronic health record (EHR) data can anticipate what individual clinical orders and existing institutional order set templates clinicians will use more accurately than existing decision support tools.
EDLaaS:Fully Homomorphic Encryption over Neural Network Graphs for Vision and Private Strawberry Yield Forecasting.,2022-Oct-24,"George Onoufriou, Marc Hanheide, Georgios Leontidis","We present automatically parameterised Fully Homomorphic Encryption (FHE) for encrypted neural network inference and exemplify our inference over FHE-compatible neural networks with our own open-source framework and reproducible examples. We use the fourth generation Cheon, Kim, Kim, and Song (CKKS) FHE scheme over fixed points provided by the Microsoft Simple Encrypted Arithmetic Library (MS-SEAL). We significantly enhance the usability and applicability of FHE in deep learning contexts, with a focus on the constituent graphs, traversal, and optimisation. We find that FHE is not a panacea for all privacy-preserving machine learning (PPML) problems and that certain limitations still remain, such as model training. However, we also find that in certain contexts FHE is well-suited for computing completely private predictions with neural networks. The ability to privately compute sensitive problems more easily while lowering the barriers to entry can allow otherwise too-sensitive fields to begin advantaging themselves of performant third-party neural networks. Lastly, we show how encrypted deep learning can be applied to a sensitive real-world problem in agri-food, i.e., strawberry yield forecasting, demonstrating competitive performance. We argue that the adoption of encrypted deep learning methods at scale could allow for a greater adoption of deep learning methodologies where privacy concerns exist, hence having a large positive potential impact within the agri-food sector and its journey to net zero."
Refining Convolutional Neural Network Detection of Small-Bowel Obstruction in Conventional Radiography.,2019-Feb,"Phillip M Cheng, Khoa N Tran, Gilbert Whang, Tapas K Tejura",The purpose of this study was to evaluate improvement of convolutional neural network detection of high-grade small-bowel obstruction on conventional radiographs with increased training set size.
Recursive Feature Elimination-based Biomarker Identification for Open Neural Tube Defects.,2022-Jul-05,"Kadhir Velu Karthik, Aruna Rajalingam, Mallaiah Shivashankar, Anjali Ganjiwale",
Image processing and supervised machine learning for retinal microglia characterization in senescence.,2024,"Soyoung Choi, Daniel Hill, Jonathan Young, Maria Francesca Cordeiro","The process of senescence impairs the function of cells and can ultimately be a key factor in the development of disease. With an aging population, senescence-related diseases are increasing in prevalence. Therefore, understanding the mechanisms of cellular senescence within the central nervous system (CNS), including the retina, may yield new therapeutic pathways to slow or even prevent the development of neuro- and retinal degenerative diseases. One method of probing the changing functions of senescent retinal cells is to observe retinal microglial cells. Their morphological structure may change in response to their surrounding cellular environment. In this chapter, we show how microglial cells in the retina, which are implicated in aging and diseases of the CNS, can be identified, quantified, and classified into five distinct morphotypes using image processing and supervised machine learning algorithms. The process involves dissecting, staining, and mounting mouse retinas, before image capture via fluorescence microscopy. The resulting images can then be classified by morphotype using a support vector machine (SVM) we have recently described showing high accuracy. This SVM model uses shape metrics found to correspond with qualitative descriptions of the shape of each morphotype taken from existing literature. We encourage more objective and widespread use of methods of quantification such as this. We believe automatic delineation of the population of microglial cells in the retina, could potentially lead to their use as retinal imaging biomarkers for disease prediction in the future."
ADA-Tucker: Compressing deep neural networks via adaptive dimension adjustment tucker decomposition.,2019-Feb,"Zhisheng Zhong, Fangyin Wei, Zhouchen Lin, Chao Zhang","Despite recent success of deep learning models in numerous applications, their widespread use on mobile devices is seriously impeded by storage and computational requirements. In this paper, we propose a novel network compression method called Adaptive Dimension Adjustment Tucker decomposition (ADA-Tucker). With learnable core tensors and transformation matrices, ADA-Tucker performs Tucker decomposition of arbitrary-order tensors. Furthermore, we propose that weight tensors in networks with proper order and balanced dimension are easier to be compressed. Therefore, the high flexibility in decomposition choice distinguishes ADA-Tucker from all previous low-rank models. To compress more, we further extend the model to Shared Core ADA-Tucker (SCADA-Tucker) by defining a shared core tensor for all layers. Our methods require no overhead of recording indices of non-zero elements. Without loss of accuracy, our methods reduce the storage of LeNet-5 and LeNet-300 by ratios of 691× and 233 ×, respectively, significantly outperforming state of the art. The effectiveness of our methods is also evaluated on other three benchmarks (CIFAR-10, SVHN, ILSVRC12) and modern newly deep networks (ResNet, Wide-ResNet)."
Research progress and hotspot of the artificial intelligence application in the ultrasound during 2011-2021: A bibliometric analysis.,2022,"Demeng Xia, Gaoqi Chen, Kaiwen Wu, Mengxin Yu, Zhentao Zhang, Yixian Lu, Lisha Xu, Yin Wang","Ultrasound, as a common clinical examination tool, inevitably has human errors due to the limitations of manual operation. Artificial intelligence is an advanced computer program that can solve this problem. Therefore, the relevant literature on the application of artificial intelligence in the ultrasonic field from 2011 to 2021 was screened by authors from the Web of Science Core Collection, which aims to summarize the trend of artificial intelligence application in the field of ultrasound, meanwhile, visualize and predict research hotspots. A total of 908 publications were included in the study. Overall, the number of global publications is on the rise, and studies on the application of artificial intelligence in the field of ultrasound continue to increase. China has made the largest contribution in this field. In terms of institutions, Fudan University has the most number of publications. Recently, IEEE Access is the most published journal. Suri J. S. published most of the articles and had the highest number of citations in this field (29 articles). It's worth noting that, convolutional neural networks (CNN), as a kind of deep learning algorithm, was considered to bring better image analysis and processing ability in recent most-cited articles. According to the analysis of keywords, the latest keyword is ""COVID-19"" (2020.8). The co-occurrence analysis of keywords by VOSviewer visually presented four clusters which consisted of ""deep learning,"" ""machine learning,"" ""application in the field of visceral organs,"" and ""application in the field of cardiovascular"". The latest hot words of these clusters were ""COVID-19; neural-network; hepatocellular carcinoma; atherosclerotic plaques"". This study reveals the importance of multi-institutional and multi-field collaboration in promoting research progress."
The Dynamic Changes of Gut Microbiota during the Perinatal Period in Sows.,2020-Nov-30,"Lan Sun, Yu Zhang, Wei Chen, Tian Lan, Yan Wang, Yinbao Wu, Xindi Liao, Jiandui Mi","The gut microbiota in sows is important for the health of the host, and potential benefits may also be transferred to piglets during pregnancy. Therefore, systematic studies investigating the changes in the gut microbiota of sows are needed to elucidate the microbial compositions and functions. This study was conducted at 12 time points to investigate the temporal variations in gut microbiota on Days 27, 46, 64, 81, 100, and 113 during gestation (G) and Days 3, 5, 7, 10, 14, and 21 during lactation (L). Results suggested that the gut microbiota changed across the perinatal period with microbial function and abundance varying between the prenatal and postnatal periods. The alpha diversity was higher in the postnatal period than in the prenatal period. Thirty-eight genera were distributed between the two periods with "
Current and future machine learning approaches for modeling atmospheric cluster formation.,2023-Jun,"Jakub Kubečka, Yosef Knattrup, Morten Engsvang, Andreas Buchgraitz Jensen, Daniel Ayoubi, Haide Wu, Ove Christiansen, Jonas Elm","The formation of strongly bound atmospheric molecular clusters is the first step towards forming new aerosol particles. Recent advances in the application of machine learning models open an enormous opportunity for complementing expensive quantum chemical calculations with efficient machine learning predictions. In this Perspective, we present how data-driven approaches can be applied to accelerate cluster configurational sampling, thereby greatly increasing the number of chemically relevant systems that can be covered."
Ribosome profiling reveals resemblance between long non-coding RNAs and 5' leaders of coding RNAs.,2013-Jul,"Guo-Liang Chew, Andrea Pauli, John L Rinn, Aviv Regev, Alexander F Schier, Eivind Valen","Large-scale genomics and computational approaches have identified thousands of putative long non-coding RNAs (lncRNAs). It has been controversial, however, as to what fraction of these RNAs is truly non-coding. Here, we combine ribosome profiling with a machine-learning approach to validate lncRNAs during zebrafish development in a high throughput manner. We find that dozens of proposed lncRNAs are protein-coding contaminants and that many lncRNAs have ribosome profiles that resemble the 5' leaders of coding RNAs. Analysis of ribosome profiling data from embryonic stem cells reveals similar properties for mammalian lncRNAs. These results clarify the annotation of developmental lncRNAs and suggest a potential role for translation in lncRNA regulation. In addition, our computational pipeline and ribosome profiling data provide a powerful resource for the identification of translated open reading frames during zebrafish development."
OrganoIDNet: a deep learning tool for identification of therapeutic effects in PDAC organoid-PBMC co-cultures from time-resolved imaging data.,2025-Feb,"Nathalia Ferreira, Ajinkya Kulkarni, David Agorku, Teona Midelashvili, Olaf Hardt, Tobias J Legler, Philipp Ströbel, Lena-Christin Conradi, Frauke Alves, Fernanda Ramos-Gomes, M Andrea Markus","Pancreatic Ductal Adenocarcinoma (PDAC) remains a challenging disease due to its complex biology and aggressive behavior with an urgent need for efficient therapeutic strategies. To assess therapy response, pre-clinical PDAC organoid-based models in combination with accurate real-time monitoring are required."
Ensemble Deep Learning for Diabetic Retinopathy Detection Using Optical Coherence Tomography Angiography.,2020-Apr,"Morgan Heisler, Sonja Karst, Julian Lo, Zaid Mammo, Timothy Yu, Simon Warner, David Maberley, Mirza Faisal Beg, Eduardo V Navajas, Marinko V Sarunic",To evaluate the role of ensemble learning techniques with deep learning in classifying diabetic retinopathy (DR) in optical coherence tomography angiography (OCTA) images and their corresponding co-registered structural images.
Osteopenia Metabolomic Biomarkers for Early Warning of Osteoporosis.,2025-Jan-20,"Jie Wang, Dandan Yan, Suna Wang, Aihua Zhao, Xuhong Hou, Xiaojiao Zheng, Jingyi Guo, Li Shen, Yuqian Bao, Wei Jia, Xiangtian Yu, Cheng Hu, Zhenlin Zhang",
Gene expression inference with deep learning.,2016-Jun-15,"Yifei Chen, Yi Li, Rajiv Narayan, Aravind Subramanian, Xiaohui Xie","Large-scale gene expression profiling has been widely used to characterize cellular states in response to various disease conditions, genetic perturbations, etc. Although the cost of whole-genome expression profiles has been dropping steadily, generating a compendium of expression profiling over thousands of samples is still very expensive. Recognizing that gene expressions are often highly correlated, researchers from the NIH LINCS program have developed a cost-effective strategy of profiling only ∼1000 carefully selected landmark genes and relying on computational methods to infer the expression of remaining target genes. However, the computational approach adopted by the LINCS program is currently based on linear regression (LR), limiting its accuracy since it does not capture complex nonlinear relationship between expressions of genes."
Intelligent personalized shopping recommendation using clustering and supervised machine learning algorithms.,2022,"Nail Chabane, Achraf Bouaoune, Reda Tighilt, Moloud Abdar, Alix Boc, Etienne Lord, Nadia Tahiri, Bogdan Mazoure, U Rajendra Acharya, Vladimir Makarenkov","Next basket recommendation is a critical task in market basket data analysis. It is particularly important in grocery shopping, where grocery lists are an essential part of shopping habits of many customers. In this work, we first present a new grocery Recommender System available on the MyGroceryTour platform. Our online system uses different traditional machine learning (ML) and deep learning (DL) algorithms, and provides recommendations to users in a real-time manner. It aims to help Canadian customers create their personalized intelligent weekly grocery lists based on their individual purchase histories, weekly specials offered in local stores, and product cost and availability information. We perform clustering analysis to partition given customer profiles into four non-overlapping clusters according to their grocery shopping habits. Then, we conduct computational experiments to compare several traditional ML algorithms and our new DL algorithm based on the use of a gated recurrent unit (GRU)-based recurrent neural network (RNN) architecture. Our DL algorithm can be viewed as an extension of DREAM (Dynamic REcurrent bAsket Model) adapted to multi-class (i.e. multi-store) classification, since a given user can purchase recommended products in different grocery stores in which these products are available. Among traditional ML algorithms, the highest average F-score of 0.516 for the considered data set of 831 customers was obtained using Random Forest, whereas our proposed DL algorithm yielded the average F-score of 0.559 for this data set. The main advantage of the presented Recommender System is that our intelligent recommendation is personalized, since a separate traditional ML or DL model is built for each customer considered. Such a personalized approach allows us to outperform the prediction results provided by general state-of-the-art DL models."
Relation extraction with weakly supervised learning based on process-structure-property-performance reciprocity.,2018,"Takeshi Onishi, Takuya Kadohira, Ikumu Watanabe","In this study, we develop a computer-aided material design system to represent and extract knowledge related to material design from natural language texts. A machine learning model is trained on a text corpus weakly labeled by minimal annotated relationship data (~100 labeled relationships) to extract knowledge from scientific articles. The knowledge is represented by relationships between scientific concepts, such as {"
Gateway Selection in Millimeter Wave UAV Wireless Networks Using Multi-Player Multi-Armed Bandit.,2020-Jul-16,"Ehab Mahmoud Mohamed, Sherief Hashima, Abdallah Aldosary, Kohei Hatano, Mahmoud Ahmed Abdelghany","Recently, unmanned aerial vehicle (UAV)-based communications gained a lot of attention due to their numerous applications, especially in rescue services in post-disaster areas where the terrestrial network is wholly malfunctioned. Multiple access/gateway UAVs are distributed to fully cover the post-disaster area as flying base stations to provide communication coverage, collect valuable information, disseminate essential instructions, etc. The access UAVs after gathering/broadcasting the necessary information should select and fly towards one of the surrounding gateways for relaying their information. In this paper, the gateway UAV selection problem is addressed. The main aim is to maximize the long-term average data rates of the UAVs relays while minimizing the flights' battery cost, where millimeter wave links, i.e., using 30~300 GHz band, employing antenna beamforming, are used for backhauling. A tool of machine learning (ML) is exploited to address the problem as a budget-constrained multi-player multi-armed bandit (MAB) problem. In this setup, access UAVs act as the players, and the arms are the gateway UAVs, while the rewards are the average data rates of the constructed relays constrained by the battery cost of the access UAV flights. In this decentralized setting, where information is neither prior available nor exchanged among UAVs, a selfish and concurrent multi-player MAB strategy is suggested. Towards this end, three battery-aware MAB (BA-MAB) algorithms, namely upper confidence bound (UCB), Thompson sampling (TS), and the exponential weight algorithm for exploration and exploitation (EXP3), are proposed to realize gateways selection efficiently. The proposed BA-MAB-based gateway UAV selection algorithms show superior performance over approaches based on near and random selections in terms of total system rate and energy efficiency."
"Mapping the NFT revolution: market trends, trade networks, and visual features.",2021-Oct-22,"Matthieu Nadini, Laura Alessandretti, Flavio Di Giacinto, Mauro Martino, Luca Maria Aiello, Andrea Baronchelli","Non Fungible Tokens (NFTs) are digital assets that represent objects like art, collectible, and in-game items. They are traded online, often with cryptocurrency, and are generally encoded within smart contracts on a blockchain. Public attention towards NFTs has exploded in 2021, when their market has experienced record sales, but little is known about the overall structure and evolution of its market. Here, we analyse data concerning 6.1 million trades of 4.7 million NFTs between June 23, 2017 and April 27, 2021, obtained primarily from Ethereum and WAX blockchains. First, we characterize statistical properties of the market. Second, we build the network of interactions, show that traders typically specialize on NFTs associated with similar objects and form tight clusters with other traders that exchange the same kind of objects. Third, we cluster objects associated to NFTs according to their visual features and show that collections contain visually homogeneous objects. Finally, we investigate the predictability of NFT sales using simple machine learning algorithms and find that sale history and, secondarily, visual features are good predictors for price. We anticipate that these findings will stimulate further research on NFT production, adoption, and trading in different contexts."
